"Depth (m)"	"5 keV/R"	"1 uR"	"1 mR"	"10 mR"	"20 mR"	"30 mR"	"40 mR"	"50 mR"	"75 mR"	"100 mR"
3.14E-04	3.52E+06	3.52E+00	3.52E+03	3.52E+04	7.05E+04	1.06E+05	1.41E+05	1.76E+05	264259.5	3.52E+05
3.15E-04	3.44E+06	3.44E+00	3.44E+03	3.44E+04	6.89E+04	1.03E+05	1.38E+05	1.72E+05	258293.25	3.44E+05
3.15E-04	3.37E+06	3.37E+00	3.37E+03	3.37E+04	6.73E+04	1.01E+05	1.35E+05	1.68E+05	252462	3.37E+05
3.16E-04	3.29E+06	3.29E+00	3.29E+03	3.29E+04	6.58E+04	9.87E+04	1.32E+05	1.65E+05	246762	3.29E+05
3.16E-04	3.22E+06	3.22E+00	3.22E+03	3.22E+04	6.43E+04	9.65E+04	1.29E+05	1.61E+05	241191	3.22E+05
3.16E-04	3.14E+06	3.14E+00	3.14E+03	3.14E+04	6.29E+04	9.43E+04	1.26E+05	1.57E+05	235745.25	3.14E+05
3.17E-04	3.07E+06	3.07E+00	3.07E+03	3.07E+04	6.14E+04	9.22E+04	1.23E+05	1.54E+05	230423.25	3.07E+05
3.17E-04	3.00E+06	3.00E+00	3.00E+03	3.00E+04	6.01E+04	9.01E+04	1.20E+05	1.50E+05	225220.5	3.00E+05
3.18E-04	2.94E+06	2.94E+00	2.94E+03	2.94E+04	5.87E+04	8.81E+04	1.17E+05	1.47E+05	220136.25	2.94E+05
3.18E-04	2.87E+06	2.87E+00	2.87E+03	2.87E+04	5.74E+04	8.61E+04	1.15E+05	1.43E+05	215166	2.87E+05
3.18E-04	2.80E+06	2.80E+00	2.80E+03	2.80E+04	5.61E+04	8.41E+04	1.12E+05	1.40E+05	210308.25	2.80E+05
3.19E-04	2.74E+06	2.74E+00	2.74E+03	2.74E+04	5.48E+04	8.22E+04	1.10E+05	1.37E+05	205560	2.74E+05
3.19E-04	2.68E+06	2.68E+00	2.68E+03	2.68E+04	5.36E+04	8.04E+04	1.07E+05	1.34E+05	200919	2.68E+05
3.20E-04	2.62E+06	2.62E+00	2.62E+03	2.62E+04	5.24E+04	7.86E+04	1.05E+05	1.31E+05	196383	2.62E+05
3.20E-04	2.56E+06	2.56E+00	2.56E+03	2.56E+04	5.12E+04	7.68E+04	1.02E+05	1.28E+05	191949	2.56E+05
3.20E-04	2.50E+06	2.50E+00	2.50E+03	2.50E+04	5.00E+04	7.50E+04	1.00E+05	1.25E+05	187615.5	2.50E+05
3.21E-04	2.45E+06	2.45E+00	2.45E+03	2.45E+04	4.89E+04	7.34E+04	9.78E+04	1.22E+05	183379.5	2.45E+05
3.21E-04	2.39E+06	2.39E+00	2.39E+03	2.39E+04	4.78E+04	7.17E+04	9.56E+04	1.19E+05	179239.5	2.39E+05
3.22E-04	2.34E+06	2.34E+00	2.34E+03	2.34E+04	4.67E+04	7.01E+04	9.34E+04	1.17E+05	175193.25	2.34E+05
3.22E-04	2.28E+06	2.28E+00	2.28E+03	2.28E+04	4.57E+04	6.85E+04	9.13E+04	1.14E+05	171237.75	2.28E+05
3.22E-04	2.23E+06	2.23E+00	2.23E+03	2.23E+04	4.46E+04	6.69E+04	8.93E+04	1.12E+05	167371.5	2.23E+05
3.23E-04	2.18E+06	2.18E+00	2.18E+03	2.18E+04	4.36E+04	6.54E+04	8.72E+04	1.09E+05	163593	2.18E+05
3.23E-04	2.13E+06	2.13E+00	2.13E+03	2.13E+04	4.26E+04	6.40E+04	8.53E+04	1.07E+05	159899.25	2.13E+05
3.24E-04	2.08E+06	2.08E+00	2.08E+03	2.08E+04	4.17E+04	6.25E+04	8.34E+04	1.04E+05	156289.5	2.08E+05
3.24E-04	2.04E+06	2.04E+00	2.04E+03	2.04E+04	4.07E+04	6.11E+04	8.15E+04	1.02E+05	152760.75	2.04E+05
3.24E-04	1.99E+06	1.99E+00	1.99E+03	1.99E+04	3.98E+04	5.97E+04	7.96E+04	9.95E+04	149312.25	1.99E+05
3.25E-04	1.95E+06	1.95E+00	1.95E+03	1.95E+04	3.89E+04	5.84E+04	7.78E+04	9.73E+04	145941	1.95E+05
3.25E-04	1.90E+06	1.90E+00	1.90E+03	1.90E+04	3.80E+04	5.71E+04	7.61E+04	9.51E+04	142646.25	1.90E+05
3.26E-04	1.86E+06	1.86E+00	1.86E+03	1.86E+04	3.72E+04	5.58E+04	7.44E+04	9.30E+04	139425.75	1.86E+05
3.26E-04	1.82E+06	1.82E+00	1.82E+03	1.82E+04	3.63E+04	5.45E+04	7.27E+04	9.09E+04	136278	1.82E+05
3.26E-04	1.78E+06	1.78E+00	1.78E+03	1.78E+04	3.55E+04	5.33E+04	7.10E+04	8.88E+04	133201.5	1.78E+05
3.27E-04	1.74E+06	1.74E+00	1.74E+03	1.74E+04	3.47E+04	5.21E+04	6.94E+04	8.68E+04	130194	1.74E+05
3.27E-04	1.70E+06	1.70E+00	1.70E+03	1.70E+04	3.39E+04	5.09E+04	6.79E+04	8.48E+04	127254.75	1.70E+05
3.28E-04	1.66E+06	1.66E+00	1.66E+03	1.66E+04	3.32E+04	4.98E+04	6.63E+04	8.29E+04	124381.5	1.66E+05
3.28E-04	1.62E+06	1.62E+00	1.62E+03	1.62E+04	3.24E+04	4.86E+04	6.48E+04	8.10E+04	121573.5	1.62E+05
3.28E-04	1.58E+06	1.58E+00	1.58E+03	1.58E+04	3.17E+04	4.75E+04	6.34E+04	7.92E+04	118828.5	1.58E+05
3.29E-04	1.55E+06	1.55E+00	1.55E+03	1.55E+04	3.10E+04	4.65E+04	6.19E+04	7.74E+04	116145.75	1.55E+05
3.29E-04	1.51E+06	1.51E+00	1.51E+03	1.51E+04	3.03E+04	4.54E+04	6.05E+04	7.57E+04	113523.75	1.51E+05
3.30E-04	1.48E+06	1.48E+00	1.48E+03	1.48E+04	2.96E+04	4.44E+04	5.92E+04	7.40E+04	110960.25	1.48E+05
3.30E-04	1.45E+06	1.45E+00	1.45E+03	1.45E+04	2.89E+04	4.34E+04	5.78E+04	7.23E+04	108455.25	1.45E+05
3.30E-04	1.41E+06	1.41E+00	1.41E+03	1.41E+04	2.83E+04	4.24E+04	5.65E+04	7.07E+04	106006.5	1.41E+05
3.31E-04	1.38E+06	1.38E+00	1.38E+03	1.38E+04	2.76E+04	4.14E+04	5.53E+04	6.91E+04	103613.25	1.38E+05
3.31E-04	1.35E+06	1.35E+00	1.35E+03	1.35E+04	2.70E+04	4.05E+04	5.40E+04	6.75E+04	101274	1.35E+05
3.32E-04	1.32E+06	1.32E+00	1.32E+03	1.32E+04	2.64E+04	3.96E+04	5.28E+04	6.60E+04	98988	1.32E+05
3.32E-04	1.29E+06	1.29E+00	1.29E+03	1.29E+04	2.58E+04	3.87E+04	5.16E+04	6.45E+04	96753	1.29E+05
3.32E-04	1.26E+06	1.26E+00	1.26E+03	1.26E+04	2.52E+04	3.78E+04	5.04E+04	6.30E+04	94568.25	1.26E+05
3.33E-04	1.23E+06	1.23E+00	1.23E+03	1.23E+04	2.46E+04	3.70E+04	4.93E+04	6.16E+04	92433.75	1.23E+05
3.33E-04	1.20E+06	1.20E+00	1.20E+03	1.20E+04	2.41E+04	3.61E+04	4.82E+04	6.02E+04	90346.5	1.20E+05
3.34E-04	1.18E+06	1.18E+00	1.18E+03	1.18E+04	2.35E+04	3.53E+04	4.71E+04	5.89E+04	88307.25	1.18E+05
3.34E-04	1.15E+06	1.15E+00	1.15E+03	1.15E+04	2.30E+04	3.45E+04	4.60E+04	5.75E+04	86313	1.15E+05
3.34E-04	1.12E+06	1.12E+00	1.12E+03	1.12E+04	2.25E+04	3.37E+04	4.50E+04	5.62E+04	84364.5	1.12E+05
3.35E-04	1.10E+06	1.10E+00	1.10E+03	1.10E+04	2.20E+04	3.30E+04	4.40E+04	5.50E+04	82459.5	1.10E+05
3.35E-04	1.07E+06	1.07E+00	1.07E+03	1.07E+04	2.15E+04	3.22E+04	4.30E+04	5.37E+04	80598	1.07E+05
3.36E-04	1.05E+06	1.05E+00	1.05E+03	1.05E+04	2.10E+04	3.15E+04	4.20E+04	5.25E+04	78778.5	1.05E+05
3.36E-04	1.03E+06	1.03E+00	1.03E+03	1.03E+04	2.05E+04	3.08E+04	4.11E+04	5.13E+04	77000.25	1.03E+05
3.36E-04	1.00E+06	1.00E+00	1.00E+03	1.00E+04	2.01E+04	3.01E+04	4.01E+04	5.02E+04	75261.75	1.00E+05
3.37E-04	9.81E+05	9.81E-01	9.81E+02	9.81E+03	1.96E+04	2.94E+04	3.92E+04	4.91E+04	73575	9.81E+04
3.37E-04	9.59E+05	9.59E-01	9.59E+02	9.59E+03	1.92E+04	2.88E+04	3.84E+04	4.80E+04	71925	9.59E+04
3.38E-04	9.37E+05	9.37E-01	9.37E+02	9.37E+03	1.87E+04	2.81E+04	3.75E+04	4.69E+04	70275	9.37E+04
3.38E-04	9.16E+05	9.16E-01	9.16E+02	9.16E+03	1.83E+04	2.75E+04	3.66E+04	4.58E+04	68700	9.16E+04
3.38E-04	8.95E+05	8.95E-01	8.95E+02	8.95E+03	1.79E+04	2.69E+04	3.58E+04	4.48E+04	67125	8.95E+04
3.39E-04	8.75E+05	8.75E-01	8.75E+02	8.75E+03	1.75E+04	2.63E+04	3.50E+04	4.38E+04	65625	8.75E+04
3.39E-04	8.55E+05	8.55E-01	8.55E+02	8.55E+03	1.71E+04	2.57E+04	3.42E+04	4.28E+04	64125	8.55E+04
3.40E-04	8.36E+05	8.36E-01	8.36E+02	8.36E+03	1.67E+04	2.51E+04	3.34E+04	4.18E+04	62700	8.36E+04
3.40E-04	8.17E+05	8.17E-01	8.17E+02	8.17E+03	1.63E+04	2.45E+04	3.27E+04	4.09E+04	61275	8.17E+04
3.40E-04	7.99E+05	7.99E-01	7.99E+02	7.99E+03	1.60E+04	2.40E+04	3.20E+04	4.00E+04	59925	7.99E+04
3.41E-04	7.81E+05	7.81E-01	7.81E+02	7.81E+03	1.56E+04	2.34E+04	3.12E+04	3.91E+04	58575	7.81E+04
3.41E-04	7.63E+05	7.63E-01	7.63E+02	7.63E+03	1.53E+04	2.29E+04	3.05E+04	3.82E+04	57225	7.63E+04
3.42E-04	7.46E+05	7.46E-01	7.46E+02	7.46E+03	1.49E+04	2.24E+04	2.98E+04	3.73E+04	55950	7.46E+04
3.42E-04	7.29E+05	7.29E-01	7.29E+02	7.29E+03	1.46E+04	2.19E+04	2.92E+04	3.65E+04	54675	7.29E+04
3.42E-04	7.12E+05	7.12E-01	7.12E+02	7.12E+03	1.42E+04	2.14E+04	2.85E+04	3.56E+04	53400	7.12E+04
3.43E-04	6.96E+05	6.96E-01	6.96E+02	6.96E+03	1.39E+04	2.09E+04	2.78E+04	3.48E+04	52200	6.96E+04
3.43E-04	6.81E+05	6.81E-01	6.81E+02	6.81E+03	1.36E+04	2.04E+04	2.72E+04	3.41E+04	51075	6.81E+04
3.44E-04	6.65E+05	6.65E-01	6.65E+02	6.65E+03	1.33E+04	2.00E+04	2.66E+04	3.33E+04	49875	6.65E+04
3.44E-04	6.50E+05	6.50E-01	6.50E+02	6.50E+03	1.30E+04	1.95E+04	2.60E+04	3.25E+04	48750	6.50E+04
3.44E-04	6.36E+05	6.36E-01	6.36E+02	6.36E+03	1.27E+04	1.91E+04	2.54E+04	3.18E+04	47700	6.36E+04
3.45E-04	6.21E+05	6.21E-01	6.21E+02	6.21E+03	1.24E+04	1.86E+04	2.48E+04	3.11E+04	46575	6.21E+04
3.45E-04	6.07E+05	6.07E-01	6.07E+02	6.07E+03	1.21E+04	1.82E+04	2.43E+04	3.04E+04	45525	6.07E+04
3.46E-04	5.93E+05	5.93E-01	5.93E+02	5.93E+03	1.19E+04	1.78E+04	2.37E+04	2.97E+04	44475	5.93E+04
3.46E-04	5.80E+05	5.80E-01	5.80E+02	5.80E+03	1.16E+04	1.74E+04	2.32E+04	2.90E+04	43500	5.80E+04
3.46E-04	5.67E+05	5.67E-01	5.67E+02	5.67E+03	1.13E+04	1.70E+04	2.27E+04	2.84E+04	42525	5.67E+04
3.47E-04	5.54E+05	5.54E-01	5.54E+02	5.54E+03	1.11E+04	1.66E+04	2.22E+04	2.77E+04	41550	5.54E+04
3.47E-04	5.42E+05	5.42E-01	5.42E+02	5.42E+03	1.08E+04	1.63E+04	2.17E+04	2.71E+04	40650	5.42E+04
3.48E-04	5.29E+05	5.29E-01	5.29E+02	5.29E+03	1.06E+04	1.59E+04	2.12E+04	2.65E+04	39675	5.29E+04
3.48E-04	5.17E+05	5.17E-01	5.17E+02	5.17E+03	1.03E+04	1.55E+04	2.07E+04	2.59E+04	38775	5.17E+04
3.48E-04	5.06E+05	5.06E-01	5.06E+02	5.06E+03	1.01E+04	1.52E+04	2.02E+04	2.53E+04	37950	5.06E+04
3.49E-04	4.94E+05	4.94E-01	4.94E+02	4.94E+03	9.88E+03	1.48E+04	1.98E+04	2.47E+04	37050	4.94E+04
3.49E-04	4.83E+05	4.83E-01	4.83E+02	4.83E+03	9.66E+03	1.45E+04	1.93E+04	2.42E+04	36225	4.83E+04
3.50E-04	4.72E+05	4.72E-01	4.72E+02	4.72E+03	9.44E+03	1.42E+04	1.89E+04	2.36E+04	35400	4.72E+04
3.50E-04	4.62E+05	4.62E-01	4.62E+02	4.62E+03	9.24E+03	1.39E+04	1.85E+04	2.31E+04	34650	4.62E+04
3.50E-04	4.51E+05	4.51E-01	4.51E+02	4.51E+03	9.02E+03	1.35E+04	1.80E+04	2.26E+04	33825	4.51E+04
3.51E-04	4.41E+05	4.41E-01	4.41E+02	4.41E+03	8.82E+03	1.32E+04	1.76E+04	2.21E+04	33075	4.41E+04
3.51E-04	4.31E+05	4.31E-01	4.31E+02	4.31E+03	8.62E+03	1.29E+04	1.72E+04	2.16E+04	32325	4.31E+04
3.52E-04	4.21E+05	4.21E-01	4.21E+02	4.21E+03	8.42E+03	1.26E+04	1.68E+04	2.11E+04	31575	4.21E+04
3.52E-04	4.12E+05	4.12E-01	4.12E+02	4.12E+03	8.24E+03	1.24E+04	1.65E+04	2.06E+04	30900	4.12E+04
3.52E-04	4.03E+05	4.03E-01	4.03E+02	4.03E+03	8.06E+03	1.21E+04	1.61E+04	2.02E+04	30225	4.03E+04
3.53E-04	3.93E+05	3.93E-01	3.93E+02	3.93E+03	7.86E+03	1.18E+04	1.57E+04	1.97E+04	29475	3.93E+04
3.53E-04	3.85E+05	3.85E-01	3.85E+02	3.85E+03	7.70E+03	1.16E+04	1.54E+04	1.93E+04	28875	3.85E+04
3.54E-04	3.76E+05	3.76E-01	3.76E+02	3.76E+03	7.52E+03	1.13E+04	1.50E+04	1.88E+04	28200	3.76E+04
3.54E-04	3.67E+05	3.67E-01	3.67E+02	3.67E+03	7.34E+03	1.10E+04	1.47E+04	1.84E+04	27525	3.67E+04
3.54E-04	3.59E+05	3.59E-01	3.59E+02	3.59E+03	7.18E+03	1.08E+04	1.44E+04	1.80E+04	26925	3.59E+04
3.55E-04	3.51E+05	3.51E-01	3.51E+02	3.51E+03	7.02E+03	1.05E+04	1.40E+04	1.76E+04	26325	3.51E+04
3.55E-04	3.43E+05	3.43E-01	3.43E+02	3.43E+03	6.86E+03	1.03E+04	1.37E+04	1.72E+04	25725	3.43E+04
3.56E-04	3.35E+05	3.35E-01	3.35E+02	3.35E+03	6.70E+03	1.01E+04	1.34E+04	1.68E+04	25125	3.35E+04
3.56E-04	3.28E+05	3.28E-01	3.28E+02	3.28E+03	6.56E+03	9.84E+03	1.31E+04	1.64E+04	24600	3.28E+04
3.56E-04	3.20E+05	3.20E-01	3.20E+02	3.20E+03	6.40E+03	9.60E+03	1.28E+04	1.60E+04	24000	3.20E+04
3.57E-04	3.13E+05	3.13E-01	3.13E+02	3.13E+03	6.26E+03	9.39E+03	1.25E+04	1.57E+04	23475	3.13E+04
3.57E-04	3.06E+05	3.06E-01	3.06E+02	3.06E+03	6.12E+03	9.18E+03	1.22E+04	1.53E+04	22950	3.06E+04
3.58E-04	2.99E+05	2.99E-01	2.99E+02	2.99E+03	5.98E+03	8.97E+03	1.20E+04	1.50E+04	22425	2.99E+04
3.58E-04	2.92E+05	2.92E-01	2.92E+02	2.92E+03	5.84E+03	8.76E+03	1.17E+04	1.46E+04	21900	2.92E+04
3.58E-04	2.86E+05	2.86E-01	2.86E+02	2.86E+03	5.72E+03	8.58E+03	1.14E+04	1.43E+04	21450	2.86E+04
3.59E-04	2.79E+05	2.79E-01	2.79E+02	2.79E+03	5.58E+03	8.37E+03	1.12E+04	1.40E+04	20925	2.79E+04
3.59E-04	2.73E+05	2.73E-01	2.73E+02	2.73E+03	5.46E+03	8.19E+03	1.09E+04	1.37E+04	20475	2.73E+04
3.60E-04	2.67E+05	2.67E-01	2.67E+02	2.67E+03	5.34E+03	8.01E+03	1.07E+04	1.34E+04	20025	2.67E+04
3.60E-04	2.61E+05	2.61E-01	2.61E+02	2.61E+03	5.22E+03	7.83E+03	1.04E+04	1.31E+04	19575	2.61E+04
3.60E-04	2.55E+05	2.55E-01	2.55E+02	2.55E+03	5.10E+03	7.65E+03	1.02E+04	1.28E+04	19125	2.55E+04
3.61E-04	2.49E+05	2.49E-01	2.49E+02	2.49E+03	4.98E+03	7.47E+03	9.96E+03	1.25E+04	18675	2.49E+04
3.61E-04	2.44E+05	2.44E-01	2.44E+02	2.44E+03	4.88E+03	7.32E+03	9.76E+03	1.22E+04	18300	2.44E+04
3.62E-04	2.38E+05	2.38E-01	2.38E+02	2.38E+03	4.76E+03	7.14E+03	9.52E+03	1.19E+04	17850	2.38E+04
3.62E-04	2.33E+05	2.33E-01	2.33E+02	2.33E+03	4.66E+03	6.99E+03	9.32E+03	1.17E+04	17475	2.33E+04
3.62E-04	2.27E+05	2.27E-01	2.27E+02	2.27E+03	4.54E+03	6.81E+03	9.08E+03	1.14E+04	17025	2.27E+04
3.63E-04	2.22E+05	2.22E-01	2.22E+02	2.22E+03	4.44E+03	6.66E+03	8.88E+03	1.11E+04	16650	2.22E+04
3.63E-04	2.17E+05	2.17E-01	2.17E+02	2.17E+03	4.34E+03	6.51E+03	8.68E+03	1.09E+04	16275	2.17E+04
3.64E-04	2.12E+05	2.12E-01	2.12E+02	2.12E+03	4.24E+03	6.36E+03	8.48E+03	1.06E+04	15900	2.12E+04
3.64E-04	2.08E+05	2.08E-01	2.08E+02	2.08E+03	4.16E+03	6.24E+03	8.32E+03	1.04E+04	15600	2.08E+04
3.64E-04	2.03E+05	2.03E-01	2.03E+02	2.03E+03	4.06E+03	6.09E+03	8.12E+03	1.02E+04	15225	2.03E+04
3.65E-04	1.98E+05	1.98E-01	1.98E+02	1.98E+03	3.96E+03	5.94E+03	7.92E+03	9.90E+03	14850	1.98E+04
3.65E-04	1.94E+05	1.94E-01	1.94E+02	1.94E+03	3.88E+03	5.82E+03	7.76E+03	9.70E+03	14550	1.94E+04
3.66E-04	1.89E+05	1.89E-01	1.89E+02	1.89E+03	3.78E+03	5.67E+03	7.56E+03	9.45E+03	14175	1.89E+04
3.66E-04	1.85E+05	1.85E-01	1.85E+02	1.85E+03	3.70E+03	5.55E+03	7.40E+03	9.25E+03	13875	1.85E+04
3.66E-04	1.81E+05	1.81E-01	1.81E+02	1.81E+03	3.62E+03	5.43E+03	7.24E+03	9.05E+03	13575	1.81E+04
3.67E-04	1.77E+05	1.77E-01	1.77E+02	1.77E+03	3.54E+03	5.31E+03	7.08E+03	8.85E+03	13275	1.77E+04
3.67E-04	1.73E+05	1.73E-01	1.73E+02	1.73E+03	3.46E+03	5.19E+03	6.92E+03	8.65E+03	12975	1.73E+04
3.68E-04	1.69E+05	1.69E-01	1.69E+02	1.69E+03	3.38E+03	5.07E+03	6.76E+03	8.45E+03	12675	1.69E+04
3.68E-04	1.65E+05	1.65E-01	1.65E+02	1.65E+03	3.30E+03	4.95E+03	6.60E+03	8.25E+03	12375	1.65E+04
3.68E-04	1.61E+05	1.61E-01	1.61E+02	1.61E+03	3.22E+03	4.83E+03	6.44E+03	8.05E+03	12075	1.61E+04
3.69E-04	1.58E+05	1.58E-01	1.58E+02	1.58E+03	3.16E+03	4.74E+03	6.32E+03	7.90E+03	11850	1.58E+04
3.69E-04	1.54E+05	1.54E-01	1.54E+02	1.54E+03	3.08E+03	4.62E+03	6.16E+03	7.70E+03	11550	1.54E+04
3.70E-04	1.51E+05	1.51E-01	1.51E+02	1.51E+03	3.02E+03	4.53E+03	6.04E+03	7.55E+03	11325	1.51E+04
3.70E-04	1.47E+05	1.47E-01	1.47E+02	1.47E+03	2.94E+03	4.41E+03	5.88E+03	7.35E+03	11025	1.47E+04
3.70E-04	1.44E+05	1.44E-01	1.44E+02	1.44E+03	2.88E+03	4.32E+03	5.76E+03	7.20E+03	10800	1.44E+04
3.71E-04	1.41E+05	1.41E-01	1.41E+02	1.41E+03	2.82E+03	4.23E+03	5.64E+03	7.05E+03	10575	1.41E+04
3.71E-04	1.38E+05	1.38E-01	1.38E+02	1.38E+03	2.76E+03	4.14E+03	5.52E+03	6.90E+03	10350	1.38E+04
3.72E-04	1.35E+05	1.35E-01	1.35E+02	1.35E+03	2.70E+03	4.05E+03	5.40E+03	6.75E+03	10125	1.35E+04
3.72E-04	1.31E+05	1.31E-01	1.31E+02	1.31E+03	2.62E+03	3.93E+03	5.24E+03	6.55E+03	9825	1.31E+04
3.72E-04	1.29E+05	1.29E-01	1.29E+02	1.29E+03	2.58E+03	3.87E+03	5.16E+03	6.45E+03	9675	1.29E+04
3.73E-04	1.26E+05	1.26E-01	1.26E+02	1.26E+03	2.52E+03	3.78E+03	5.04E+03	6.30E+03	9450	1.26E+04
3.73E-04	1.23E+05	1.23E-01	1.23E+02	1.23E+03	2.46E+03	3.69E+03	4.92E+03	6.15E+03	9225	1.23E+04
3.74E-04	1.20E+05	1.20E-01	1.20E+02	1.20E+03	2.40E+03	3.60E+03	4.80E+03	6.00E+03	9000	1.20E+04
3.74E-04	1.17E+05	1.17E-01	1.17E+02	1.17E+03	2.34E+03	3.51E+03	4.68E+03	5.85E+03	8775	1.17E+04
3.74E-04	1.15E+05	1.15E-01	1.15E+02	1.15E+03	2.30E+03	3.45E+03	4.60E+03	5.75E+03	8625	1.15E+04
3.75E-04	1.12E+05	1.12E-01	1.12E+02	1.12E+03	2.24E+03	3.36E+03	4.48E+03	5.60E+03	8400	1.12E+04
3.75E-04	1.10E+05	1.10E-01	1.10E+02	1.10E+03	2.20E+03	3.30E+03	4.40E+03	5.50E+03	8250	1.10E+04
3.76E-04	1.07E+05	1.07E-01	1.07E+02	1.07E+03	2.14E+03	3.21E+03	4.28E+03	5.35E+03	8025	1.07E+04
3.76E-04	1.05E+05	1.05E-01	1.05E+02	1.05E+03	2.10E+03	3.15E+03	4.20E+03	5.25E+03	7875	1.05E+04
3.76E-04	1.02E+05	1.02E-01	1.02E+02	1.02E+03	2.04E+03	3.06E+03	4.08E+03	5.10E+03	7650	1.02E+04
3.77E-04	1.00E+05	1.00E-01	1.00E+02	1.00E+03	2.00E+03	3.00E+03	4.00E+03	5.00E+03	7500	1.00E+04
3.77E-04	9.77E+04	9.77E-02	9.77E+01	9.77E+02	1.95E+03	2.93E+03	3.91E+03	4.89E+03	7327.5	9.77E+03
3.78E-04	9.55E+04	9.55E-02	9.55E+01	9.55E+02	1.91E+03	2.87E+03	3.82E+03	4.78E+03	7162.5	9.55E+03
3.78E-04	9.33E+04	9.33E-02	9.33E+01	9.33E+02	1.87E+03	2.80E+03	3.73E+03	4.67E+03	6997.5	9.33E+03
3.78E-04	9.12E+04	9.12E-02	9.12E+01	9.12E+02	1.82E+03	2.74E+03	3.65E+03	4.56E+03	6840	9.12E+03
3.79E-04	8.92E+04	8.92E-02	8.92E+01	8.92E+02	1.78E+03	2.68E+03	3.57E+03	4.46E+03	6690	8.92E+03
3.79E-04	8.72E+04	8.72E-02	8.72E+01	8.72E+02	1.74E+03	2.62E+03	3.49E+03	4.36E+03	6540	8.72E+03
3.80E-04	8.52E+04	8.52E-02	8.52E+01	8.52E+02	1.70E+03	2.56E+03	3.41E+03	4.26E+03	6390	8.52E+03
3.80E-04	8.33E+04	8.33E-02	8.33E+01	8.33E+02	1.67E+03	2.50E+03	3.33E+03	4.17E+03	6247.5	8.33E+03
3.80E-04	8.14E+04	8.14E-02	8.14E+01	8.14E+02	1.63E+03	2.44E+03	3.26E+03	4.07E+03	6105	8.14E+03
